symbol,n_days,n_filings,n_folds,auc_numeric,auc_tokens,auc_fusion,f1_numeric,f1_tokens,f1_fusion,brier_numeric,brier_tokens,brier_fusion,ece_numeric,ece_tokens,ece_fusion,delta_auc_tok_num,delta_auc_fus_tok,delta_f1_tok_num,delta_f1_fus_tok,delta_brier_tok_num,delta_brier_fus_tok,delta_ece_tok_num,delta_ece_fus_tok,tok_beats_num,fus_beats_tok,full_hypothesis
DLF,2452,774,56,0.49180569957816844,0.48654252516724306,0.5064359422621418,0.4523728717504448,0.48127916220250416,0.5314240958748693,0.2716659638334966,0.2763361940387043,0.2711071708665541,0.15666645105140015,0.16082271289827396,0.15841107400041035,-0.005263174410925386,0.01989341709489878,0.028906290452059336,0.05014493367236511,0.004670230205207682,-0.005229023172150182,0.0041562618468738155,-0.0024116388978636105,False,True,False
DMART,2154,602,49,0.5118659451989671,0.5078222777441441,0.5060014915528637,0.37057410352607884,0.3719768565127634,0.3997987219682181,0.2777686567708221,0.27852390073331984,0.2736780933461988,0.1702494773588576,0.17121667500176477,0.1727950284467569,-0.004043667454822986,-0.0018207861912804546,0.0014027529866845745,0.027821865455454675,0.0007552439624977647,-0.004845807387121037,0.0009671976429071749,0.001578353444992131,False,False,False
RELIANCE,2452,143,56,0.5016033776642431,0.495453548364908,0.5060003450772773,0.4085410872574777,0.4075316214753219,0.4460722421094073,0.2797804195458254,0.27234765193276445,0.2704976907635406,0.16958418538995332,0.1609426260260999,0.1498864405527735,-0.006149829299335108,0.0105467967123693,-0.0010094657821557718,0.03854062063408542,-0.007432767613060942,-0.0018499611692238682,-0.008641559363853413,-0.011056185473326402,False,True,False
HINDUNILVR,2453,293,56,0.5189739794625864,0.506772554037729,0.5056496857858038,0.39883266860152095,0.37779577201314557,0.386935868430666,0.26552779403183663,0.26515406950037895,0.2679202798872135,0.14286274051066616,0.14048188810030754,0.1430123052393763,-0.01220142542485736,-0.001122868251925202,-0.021036896588375376,0.009140096417520449,-0.00037372453145767537,0.0027662103868345556,-0.002380852410358625,0.0025304171390687635,False,False,False
ATGL,1751,421,39,0.5389316781139868,0.4981698092259842,0.5055431849021969,0.3591936220209269,0.32649758248425176,0.3447375510487908,0.2709792756531066,0.27202893349457835,0.2664821471472701,0.175669290264807,0.158360229466028,0.1689491038090162,-0.040761868888002595,0.007373375676212657,-0.03269603953667516,0.018239968564539022,0.0010496578414717628,-0.0055467863473082635,-0.017309060798778975,0.010588874342988192,False,True,False
ASIANPAINT,2452,1074,56,0.5261547781918366,0.5113147903984087,0.5054246459177318,0.39518843546751403,0.39220252848715326,0.4137523267118866,0.2730839246056528,0.2778353388066299,0.27165368221203623,0.1714258214660941,0.16159695899151907,0.16230793957650494,-0.014839987793427989,-0.005890144480676818,-0.002985906980360775,0.021549798224733352,0.004751414200977133,-0.0061816565945936874,-0.00982886247457504,0.0007109805849858652,False,False,False
PNB,2452,256,56,0.4981182515597539,0.5052607565674057,0.5051536330578715,0.3535937126215393,0.39293782168231406,0.39776617707985423,0.2639047362987871,0.26544286643722464,0.27089215269148215,0.14094933720138,0.1409058941914898,0.16104738308799035,0.007142505007651734,-0.00010712350953412386,0.039344109060774735,0.004828355397540174,0.0015381301384375656,0.005449286254257502,-4.344300989020389e-05,0.020141488896500553,True,False,False
GRASIM,2453,1338,56,0.48340391207557093,0.513919348275209,0.5045105155690823,0.41443154243794683,0.44569098833595777,0.4342263313821522,0.26753989218295493,0.26317518716479055,0.264977471989672,0.14334850901764712,0.13487285637712843,0.14469875148021924,0.03051543619963809,-0.00940883270612669,0.03125944589801094,-0.011464656953805552,-0.004364705018164383,0.0018022848248814283,-0.008475652640518694,0.009825895103090815,True,False,False
HINDZINC,2453,689,56,0.49082921034435134,0.4997967688631154,0.5041644928514496,0.38705409656805906,0.42911228129449924,0.44566960705382813,0.27511686846009425,0.2765517851301217,0.27580268107228656,0.15928542824752148,0.16766405408856744,0.16976749110941028,0.008967558518764074,0.004367723988334182,0.042058184726440184,0.01655732575932889,0.0014349166700274307,-0.000749104057835126,0.008378625841045956,0.002103437020842841,True,True,True
BEL,2452,637,56,0.5115870749055045,0.5098208130062172,0.5038378085314118,0.33386115810817224,0.40204576782452117,0.4085399609623984,0.2674805560914589,0.26461426921506004,0.2668177731296554,0.14516744119486466,0.1371491027857065,0.14610458393772147,-0.0017662618992873025,-0.005983004474805376,0.06818460971634893,0.006494193137877247,-0.002866286876398838,0.0022035039145953395,-0.008018338409158166,0.008955481152014971,False,False,False
MOTHERSON,2452,919,56,0.512870760147147,0.49048229091005957,0.5033556210576812,0.42200456904894823,0.4296325123572996,0.4203243131198043,0.2683766720615585,0.267585668548654,0.26587223960939216,0.15102393892292115,0.1476269830201346,0.15088568055231097,-0.022388469237087483,0.012873330147621598,0.00762794330835137,-0.009308199237495318,-0.000791003512904509,-0.0017134289392618518,-0.003396955902786547,0.0032586975321763634,False,True,False
PFC,2452,193,56,0.49933749181332326,0.5067181662710405,0.5017469644922262,0.4275378305270913,0.4138737435500997,0.4303236465122112,0.27248133569647454,0.2736461088621742,0.27444041969121846,0.16026616771554666,0.1680494469049639,0.16230315085603303,0.007380674457717229,-0.0049712017788142715,-0.013664086976991618,0.016449902962111518,0.001164773165699684,0.0007943108290442424,0.007783279189417236,-0.005746296048930871,True,False,False
DRREDDY,2452,1051,56,0.5128366890637431,0.5046792318496787,0.5012658867909754,0.3952420762518066,0.42211344294958714,0.3933264769102444,0.2721763697114682,0.2763459829511702,0.27450850364753837,0.154636384252191,0.15740934963524733,0.1589829787210654,-0.008157457214064467,-0.0034133450587032765,0.026871366697780563,-0.02878696603934272,0.004169613239701997,-0.001837479303631817,0.002772965383056325,0.001573629085818068,False,False,False
SUNPHARMA,2453,108,56,0.5182769890850197,0.5022058252433154,0.500992520246403,0.40174324560985525,0.38920282224596214,0.4350108698199079,0.2701530896760105,0.27495094925459734,0.2698082930780196,0.1569869134802895,0.1630630151025914,0.14985549568456016,-0.016071163841704372,-0.0012133049969124121,-0.012540423363893105,0.04580804757394574,0.0047978595785868605,-0.00514265617657772,0.006076101622301905,-0.01320751941803125,False,False,False
