fold,variant,split,roc_auc,pr_auc,f1,brier,ece,n_samples,pos_rate,reliability_slope,reliability_intercept
7,ts_text_fusion,test,0.5187090308091259,0.49839345580019306,0.010893246187363835,0.24987854692895506,0.013340644511972458,3687,0.4909140169620514,-3.9968704104934183,2.406548578500908
8,ts_text_fusion,test,0.5105498254023824,0.4707439981622192,0.35826771653543305,0.24937267380434866,0.022522995339467985,3344,0.4691985547542572,-0.04863144973172914,0.4931117117112481
9,ts_text_fusion,test,0.5062950992806233,0.47837805158145164,0.0,0.24932324111807197,0.004420784014029178,3809,0.4736151099205017,,
10,ts_text_fusion,test,0.5203231772417551,0.5136090633189141,0.11854684512428298,0.24946664564110035,0.01339253520504952,3840,0.4867187440395355,1.4987813396616967,-0.22298621255474638
11,ts_text_fusion,test,0.5090104583720894,0.43806915909122746,0.31160714285714286,0.24855089061267932,0.06222660124710762,3427,0.4277794063091278,1.351392032786909,-0.2423653397938325
12,ts_text_fusion,test,0.4898463085368213,0.4973684309648178,0.0,0.25623264691459685,0.07685234191715497,3794,0.5050079226493835,0.9724116292169899,0.08866445673672518
13,ts_text_fusion,test,0.5162049639084612,0.50595556068457,0.535176499629721,0.2501059567820528,0.0082752600955004,3914,0.4994890093803406,-1.0928162034685311,1.0468525092700096
14,ts_text_fusion,test,0.48832290834885983,0.5095439108778932,0.40237076061903193,0.25030436439094184,0.017038167317140966,3554,0.512099027633667,0.24858941923222594,0.4450799507107303
15,ts_text_fusion,test,0.5146010817335591,0.49428296519712256,0.6046002190580504,0.25070264520706703,0.030571812194459785,3644,0.48600438237190247,-0.5844730702415593,0.7751188503358291
16,ts_text_fusion,test,0.530556548244692,0.49165401268891135,0.349420127197905,0.2479938048834664,0.03781983947425718,3919,0.45292165875434875,2.4009914602433597,-0.719582155732402
17,ts_text_fusion,test,0.5159058219497941,0.4955726577856797,0.034502587694077054,0.2503578898389231,0.02800966876556923,3465,0.48253968358039856,-0.5793805141340218,0.7254422514125459
18,ts_text_fusion,test,0.5141749102043219,0.5131124641979696,0.0,0.25037110906052434,0.019360928003560374,3686,0.5018990635871887,,
19,ts_text_fusion,test,0.5118302749881697,0.5172096316400785,0.5138148327678138,0.2500666920167683,0.012692685920746172,4055,0.5127003788948059,0.28129101030779596,0.37105863483235313
20,ts_text_fusion,test,0.5241576739220607,0.42503326981399414,0.5582214395773718,0.25293194518706036,0.11263785274300217,3496,0.4033180773258209,0.46367214476592167,0.16408368735561552
